iter	Passed	Remaining
0	0	36
1	0	30
2	0	28
3	1	25
4	1	25
5	2	34
6	2	33
7	2	31
8	2	30
9	3	29
10	3	28
11	3	27
12	3	26
13	4	25
14	4	25
15	4	24
16	4	24
17	5	23
18	5	23
19	5	22
20	5	22
21	6	22
22	6	21
23	6	21
24	6	20
25	7	20
26	7	20
27	7	19
28	7	19
29	8	19
30	8	18
31	8	18
32	8	18
33	9	17
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	15
40	10	15
41	10	15
42	11	14
43	11	14
44	11	14
45	11	13
46	12	13
47	12	13
48	12	13
49	12	12
50	13	12
51	13	12
52	13	12
53	13	11
54	13	11
55	14	11
56	14	10
57	14	10
58	14	10
59	15	10
60	15	9
61	15	9
62	16	9
63	16	9
64	17	9
65	17	8
66	17	8
67	18	8
68	18	8
69	18	7
70	18	7
71	19	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	20	5
79	21	5
80	21	5
81	21	4
82	21	4
83	22	4
84	22	3
85	22	3
86	22	3
87	23	3
88	23	2
89	23	2
90	23	2
91	24	2
92	24	1
93	24	1
94	24	1
95	25	1
96	25	0
97	25	0
98	25	0
99	26	0
